order_id,order_date,customer_id,product_id,quantity,sales,profit,region
1,2023-04-29,132,1,1,1106.58,266.28,East
2,2023-11-16,231,8,3,419.84,106.03,North
3,2024-05-09,408,10,5,273.22,27.73,North
4,2023-11-23,432,6,4,3747.89,336.67,West
5,2023-01-24,415,10,1,62.82,13.98,West
6,2023-09-07,227,11,2,708.34,142.67,West
7,2024-07-27,8,1,3,2968.86,539.3,South
8,2024-10-06,223,16,4,3140.99,693.86,North
9,2024-02-10,11,18,4,3227.94,694.34,East
10,2024-04-05,170,5,2,2386.67,395.1,East
11,2023-07-30,162,18,2,1746.72,410.18,North
12,2024-08-14,73,7,1,1246.3,338.79,East
13,2024-01-10,469,3,2,837.73,151.35,West
14,2024-11-17,363,15,3,3401.04,666.93,North
15,2024-09-03,18,6,3,3105.53,516.63,North
16,2023-12-23,439,7,1,1346.84,243.41,East
17,2024-11-20,324,18,2,1974.57,287.18,West
18,2024-08-27,181,11,5,1553.65,170.08,North
19,2023-09-02,294,14,1,303.7,36.53,North
20,2024-06-07,75,2,2,96.1,20.3,North
21,2024-01-28,214,16,5,4220.4,789.5,East
22,2024-12-11,436,1,5,5659.76,1611.63,West
23,2024-07-22,377,6,2,1934.85,277.74,South
24,2023-11-19,67,9,2,1472.23,318.4,West
25,2023-01-10,252,14,3,960.51,118.07,West
26,2024-07-29,20,1,4,4049.83,764.99,South
27,2024-03-01,84,7,4,5963.02,1059.31,West
28,2023-03-26,31,16,2,1758.37,448.55,East
29,2023-10-27,108,18,2,1615.84,209.2,South
30,2023-06-22,341,1,3,3275.92,669.74,North
31,2024-07-16,132,2,4,199.15,41.02,East
32,2024-07-10,34,2,3,162.65,26.14,North
33,2024-03-27,109,12,1,811.74,241.7,West
34,2024-10-31,324,6,1,1145.98,166.74,West
35,2024-04-05,52,15,1,957.63,258.26,East
36,2024-03-25,312,17,1,392.47,41.53,East
37,2023-08-03,57,5,2,2531.85,530.03,East
38,2024-12-28,290,8,3,453.4,78.98,West
39,2023-05-23,480,16,5,4666.49,1208.51,East
40,2024-08-06,413,17,1,340.24,48.26,North
41,2023-06-22,317,17,5,1687.39,396.35,East
42,2024-08-09,196,2,3,139.0,37.36,South
43,2023-05-19,307,1,1,1144.55,289.4,North
44,2023-10-11,81,15,1,1134.97,122.48,South
45,2023-09-13,468,15,2,1846.84,278.62,East
46,2024-11-23,3,5,2,2254.12,250.83,East
47,2024-10-04,355,17,3,1040.02,186.62,North
48,2024-02-17,64,18,1,936.57,132.25,South
49,2024-04-10,377,8,3,496.1,75.41,South
50,2023-04-06,400,16,1,920.0,166.39,East
51,2023-03-06,66,1,3,3288.86,550.88,East
52,2023-08-05,481,2,4,198.23,29.94,South
53,2023-12-12,471,16,3,2624.17,285.33,East
54,2023-12-18,246,15,4,4571.72,1132.4,East
55,2023-04-12,411,6,1,1107.74,292.53,North
56,2023-05-08,411,15,1,1153.28,132.35,North
57,2023-01-01,314,2,4,226.43,39.43,North
